id,shortURI,URI,command
0,"http://t9w.j6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/PZHP-RKPG/","mkdir PZHP-RKPG"
1,"http://t9w.j9.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/N6P6-ITYG/","mkdir N6P6-ITYG"
2,"http://t9w.ja.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/K706-SN89/","mkdir K706-SN89"
3,"http://t9w.jc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/9Y4S-TGOB/","mkdir 9Y4S-TGOB"
4,"http://t9w.jf.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/HT77-IR25/","mkdir HT77-IR25"
5,"http://t9w.jh.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/WGMS-NAKS/","mkdir WGMS-NAKS"
6,"http://t9w.jj.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/IJ4D-VYOQ/","mkdir IJ4D-VYOQ"
7,"http://t9w.jk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/DNNC-FRL3/","mkdir DNNC-FRL3"
8,"http://t9w.jm.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LQJT-TK9T/","mkdir LQJT-TK9T"
9,"http://t9w.jo.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/FI5H-C9TP/","mkdir FI5H-C9TP"
10,"http://t9w.jr.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/Z1TD-4GC3/","mkdir Z1TD-4GC3"
11,"http://t9w.js.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/TCBM-KEWP/","mkdir TCBM-KEWP"
12,"http://t9w.jv.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/00LQ-2TYW/","mkdir 00LQ-2TYW"
13,"http://t9w.jw.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6OR2-759V/","mkdir 6OR2-759V"
14,"http://t9w.jy.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/KDY8-KL8B/","mkdir KDY8-KL8B"
15,"http://t9w.k0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/QKU3-W17N/","mkdir QKU3-W17N"
16,"http://t9w.k2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/IQOE-U82K/","mkdir IQOE-U82K"
17,"http://t9w.k4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/LW8B-CZM5/","mkdir LW8B-CZM5"
18,"http://t9w.k6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/GNIW-2OYU/","mkdir GNIW-2OYU"
19,"http://t9w.k8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/7ACS-17MF/","mkdir 7ACS-17MF"
20,"http://t9w.ka.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/N871-IGKD/","mkdir N871-IGKD"
21,"http://t9w.kc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/BECW-RB2W/","mkdir BECW-RB2W"
22,"http://t9w.ke.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/KMWX-7917/","mkdir KMWX-7917"
23,"http://t9w.kg.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/AY58-U6YT/","mkdir AY58-U6YT"
24,"http://t9w.ki.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/N6S4-H5KH/","mkdir N6S4-H5KH"
25,"http://t9w.kl.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6ZGV-6MAC/","mkdir 6ZGV-6MAC"
26,"http://t9w.km.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/IQA9-MZY2/","mkdir IQA9-MZY2"
27,"http://t9w.ko.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/NRZF-4GLZ/","mkdir NRZF-4GLZ"
28,"http://t9w.kq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/G47R-BQPX/","mkdir G47R-BQPX"
29,"http://t9w.kt.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/44TQ-19FH/","mkdir 44TQ-19FH"
30,"http://t9w.ku.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/L4LV-Q5G8/","mkdir L4LV-Q5G8"
31,"http://t9w.kx.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/19P1-QKAW/","mkdir 19P1-QKAW"
32,"http://t9w.ky.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/S3IK-L10O/","mkdir S3IK-L10O"
33,"http://t9w.l0.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/QSSW-OJNI/","mkdir QSSW-OJNI"
34,"http://t9w.l2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/951E-0YEK/","mkdir 951E-0YEK"
35,"http://t9w.l4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6F1R-8F92/","mkdir 6F1R-8F92"
36,"http://t9w.l6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/V1SF-7MOI/","mkdir V1SF-7MOI"
37,"http://t9w.l8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/8ZG0-IB6R/","mkdir 8ZG0-IB6R"
38,"http://t9w.la.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6084-QQKO/","mkdir 6084-QQKO"
39,"http://t9w.ld.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/12NW-4S08/","mkdir 12NW-4S08"
40,"http://t9w.le.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/ET1N-V5GM/","mkdir ET1N-V5GM"
41,"http://t9w.lg.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/K31B-05IL/","mkdir K31B-05IL"
42,"http://t9w.lj.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/OIY9-X271/","mkdir OIY9-X271"
43,"http://t9w.lk.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/6UAS-38HM/","mkdir 6UAS-38HM"
44,"http://t9w.lm.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/R4CK-M2XC/","mkdir R4CK-M2XC"
45,"http://t9w.lp.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/DR1N-CLQU/","mkdir DR1N-CLQU"
46,"http://t9w.lq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/Q9OU-K99M/","mkdir Q9OU-K99M"
47,"http://t9w.ls.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/444D-J36S/","mkdir 444D-J36S"
48,"http://t9w.lv.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/SSBG-1O52/","mkdir SSBG-1O52"
49,"http://t9w.lw.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/E6F0-WOHO/","mkdir E6F0-WOHO"
50,"http://t9w.ly.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/CNKP-H2C7/","mkdir CNKP-H2C7"
51,"http://t9w.m1.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/MPM4-ST3B/","mkdir MPM4-ST3B"
52,"http://t9w.m2.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/D1AD-HL3D/","mkdir D1AD-HL3D"
53,"http://t9w.m5.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/YWGM-F7UA/","mkdir YWGM-F7UA"
54,"http://t9w.m6.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/KJH1-3NWQ/","mkdir KJH1-3NWQ"
55,"http://t9w.m9.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/GHGA-ZH8T/","mkdir GHGA-ZH8T"
